_id,Stadtteil,Jahr,Hunde,Hunde je 1.000 Bewohner/-innen (Wohnberechtigte),Hunde je 1.000 Haushalte (HH)
138,Grötzingen,2018,296,31.9,63.1
139,Grötzingen,2019,328,35.3,69.7
140,Grötzingen,2020,349,37.6,73.8
141,Stupferich,2014,119,43.1,91.8
142,Stupferich,2015,123,43.2,92.7
143,Stupferich,2016,128,45.3,96.0
144,Stupferich,2017,132,46.5,99.1
145,Stupferich,2018,139,48.0,102.6
146,Stupferich,2019,144,49.0,105.1
147,Stupferich,2020,152,51.1,110.9
148,Hohenwettersbach,2014,129,41.2,102.0
149,Hohenwettersbach,2015,131,41.6,101.2
150,Hohenwettersbach,2016,141,45.5,109.8
151,Hohenwettersbach,2017,138,45.1,108.6
152,Hohenwettersbach,2018,144,47.1,111.4
153,Hohenwettersbach,2019,153,49.7,117.8
154,Hohenwettersbach,2020,166,54.1,127.2
155,Wolfartsweier,2014,131,39.5,76.8
156,Wolfartsweier,2015,126,37.7,72.6
157,Wolfartsweier,2016,130,40.2,76.8
158,Wolfartsweier,2017,129,40.8,77.8
159,Wolfartsweier,2018,120,38.2,72.3
160,Wolfartsweier,2019,119,38.1,71.2
161,Wolfartsweier,2020,130,41.8,78.3
162,Grünwettersbach,2014,161,37.8,83.9
163,Grünwettersbach,2015,174,41.1,90.0
164,Grünwettersbach,2016,177,42.5,92.6
165,Grünwettersbach,2017,182,44.2,95.1
166,Grünwettersbach,2018,187,45.8,97.5
167,Grünwettersbach,2019,197,48.1,103.0
168,Grünwettersbach,2020,205,50.4,107.1
169,Palmbach,2014,82,41.5,95.3
170,Palmbach,2015,94,46.1,106.1
171,Palmbach,2016,101,51.3,116.6
172,Palmbach,2017,96,47.7,107.3
173,Palmbach,2018,101,50.1,113.2
174,Palmbach,2019,104,52.4,118.0
175,Palmbach,2020,113,56.6,128.3
176,Neureut,2014,634,32.9,66.3
177,Neureut,2015,628,32.4,65.0
178,Neureut,2016,638,33.2,66.1
179,Neureut,2017,627,32.8,65.0
180,Neureut,2018,645,33.6,66.6
181,Neureut,2019,681,35.4,69.6
182,Neureut,2020,726,37.9,74.1
183,Nordstadt,2014,274,26.8,57.5
184,Nordstadt,2015,274,27.1,57.8
185,Nordstadt,2016,278,27.9,58.9
186,Nordstadt,2017,290,29.2,60.7
187,Nordstadt,2018,291,29.5,60.2
188,Nordstadt,2019,293,30.2,60.7
189,Nordstadt,2020,305,32.2,63.8
